collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date,train_id
2025-04-06,16:48:47,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-01,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-01,EC_000173
2025-04-06,16:49:04,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-02,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-02,EC_000173
2025-04-06,16:49:23,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-03,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-03,EC_000173
2025-04-06,16:49:45,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-04,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-04,EC_000173
2025-04-06,16:50:03,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-05,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-05,EC_000173
2025-04-06,16:50:22,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-06,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-06,EC_000173
2025-04-06,16:50:41,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-07,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-07,EC_000173
2025-04-06,16:51:02,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-08,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-08,EC_000173
2025-04-06,16:51:22,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-09,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-09,EC_000173
2025-04-06,16:51:41,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-10,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-10,EC_000173
2025-04-06,16:52:01,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-11,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-11,EC_000173
2025-04-06,16:52:19,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-12,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-12,EC_000173
2025-04-06,16:56:45,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-25,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-25,EC_000173
2025-04-06,16:57:05,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-26,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-26,EC_000173
2025-04-06,16:57:24,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-27,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-27,EC_000173
2025-04-06,16:57:44,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-28,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-28,EC_000173
2025-04-06,16:58:03,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-29,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-29,EC_000173
2025-04-06,16:58:23,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-30,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-30,EC_000173
2025-04-06,16:58:43,8505000,Luzern,EC,000173,SBB,Basel SBB,2025-01-31,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-31,EC_000173
2025-04-06,16:52:38,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-13,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-13,EC_010173
2025-04-06,16:52:58,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-14,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-14,EC_010173
2025-04-06,16:53:19,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-15,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-15,EC_010173
2025-04-06,16:53:38,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-16,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-16,EC_010173
2025-04-06,16:53:58,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-17,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-17,EC_010173
2025-04-06,16:54:18,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-18,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-18,EC_010173
2025-04-06,16:54:39,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-19,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-19,EC_010173
2025-04-06,16:55:00,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-20,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-20,EC_010173
2025-04-06,16:55:23,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-21,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-21,EC_010173
2025-04-06,16:55:43,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-22,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-22,EC_010173
2025-04-06,16:56:05,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-23,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-23,EC_010173
2025-04-06,16:56:25,8505000,Luzern,EC,010173,SBB,Basel SBB,2025-01-24,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-01-24,EC_010173
2025-04-06,16:49:38,8505000,Luzern,IC,001455,SBB,Genève-Aéroport,2025-01-04,09:01:00,,,09:01:00,,,,,,,,,arrival,09:00,2025-01-04,IC_001455
2025-04-06,16:51:53,8505000,Luzern,IC,001455,SBB,Genève-Aéroport,2025-01-11,09:01:00,,,09:01:00,,,,,,,,,arrival,09:00,2025-01-11,IC_001455
2025-04-06,16:56:38,8505000,Luzern,IC,001455,SBB,Genève-Aéroport,2025-01-25,09:01:00,,,09:01:00,,,,,,,,,arrival,09:00,2025-01-25,IC_001455
2025-04-06,16:50:09,8505000,Luzern,IC,001490,SBB,Lausanne,2025-01-05,21:00:00,,,21:00:00,,,8,,,,,,departure,21:00,2025-01-05,IC_001490
2025-04-06,16:52:25,8505000,Luzern,IC,001490,SBB,Lausanne,2025-01-12,21:00:00,,,21:00:00,,,8,,,,,,departure,21:00,2025-01-12,IC_001490
2025-04-06,16:57:10,8505000,Luzern,IC,001490,SBB,Lausanne,2025-01-26,21:00:00,,,21:00:00,,,8,,,,,,departure,21:00,2025-01-26,IC_001490
2025-04-06,16:48:37,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-01,IC_21
2025-04-06,16:48:38,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-01,IC_21
2025-04-06,16:48:40,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-01,IC_21
2025-04-06,16:48:41,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-01,IC_21
2025-04-06,16:48:43,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-01,IC_21
2025-04-06,16:48:45,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-01,IC_21
2025-04-06,16:48:49,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-01,IC_21
2025-04-06,16:48:51,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-01,IC_21
2025-04-06,16:48:52,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-01,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-01,IC_21
2025-04-06,16:48:54,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-02,IC_21
2025-04-06,16:48:55,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-02,IC_21
2025-04-06,16:48:57,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-02,IC_21
