collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change,section_2_category,section_2_number,section_2_operator,section_2_from_id,section_2_from_name,section_2_departure_time,section_2_departure_timestamp,section_2_departure_delay,section_2_departure_platform,section_2_to_id,section_2_to_name,section_2_arrival_time,section_2_arrival_timestamp,section_2_arrival_delay,section_2_arrival_platform,section_2_delay_change,section_3_category,section_3_number,section_3_operator,section_3_from_id,section_3_from_name,section_3_departure_time,section_3_departure_timestamp,section_3_departure_delay,section_3_departure_platform,section_3_to_id,section_3_to_name,section_3_arrival_time,section_3_arrival_timestamp,section_3_arrival_delay,section_3_arrival_platform,section_3_delay_change
2025-04-06,10:51:01,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,06:00:00,09:05:00,06:00:00,09:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,06:00:00,06:00:00,0,8,8501008,Genève,09:05:00,09:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:01,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,06:54:00,09:55:00,06:54:00,09:55:00,181,00d03:01:00,2,0,0,0,6,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,06:54:00,06:54:00,0,6,8500218,Olten,07:28:00,07:28:00,0,10,0,IC,5,SBB,8500218,Olten,07:41:00,07:41:00,0.0,8,8501118,Renens VD,09:18:00,09:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,09:23:00,09:23:00,0.0,2,8501008,Genève,09:55:00,09:55:00,0.0,3,0.0
2025-04-06,10:51:01,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,07:00:00,10:05:00,07:00:00,10:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,07:00:00,07:00:00,0,8,8501008,Genève,10:05:00,10:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:01,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,07:54:00,10:55:00,07:54:00,10:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IC, IC, IR",IC,21,SBB,8505000,Luzern,07:54:00,07:54:00,0,7,8500218,Olten,08:28:00,08:28:00,0,10,0,IC,5,SBB,8500218,Olten,08:41:00,08:41:00,0.0,8,8501118,Renens VD,10:18:00,10:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,10:23:00,10:23:00,0.0,2,8501008,Genève,10:55:00,10:55:00,0.0,3,0.0
2025-04-06,10:51:03,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,08:00:00,11:05:00,08:00:00,11:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,08:00:00,08:00:00,0,8,8501008,Genève,11:05:00,11:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:03,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,08:54:00,11:55:00,08:54:00,11:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,08:54:00,08:54:00,0,7,8500218,Olten,09:28:00,09:28:00,0,10,0,IC,5,SBB,8500218,Olten,09:41:00,09:41:00,0.0,8,8501118,Renens VD,11:18:00,11:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,11:23:00,11:23:00,0.0,2,8501008,Genève,11:55:00,11:55:00,0.0,3,0.0
2025-04-06,10:51:03,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,09:00:00,12:05:00,09:00:00,12:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,09:00:00,09:00:00,0,8,8501008,Genève,12:05:00,12:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:03,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,09:54:00,12:55:00,09:54:00,12:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IC, IC, IR",IC,21,SBB,8505000,Luzern,09:54:00,09:54:00,0,7,8500218,Olten,10:28:00,10:28:00,0,10,0,IC,5,SBB,8500218,Olten,10:41:00,10:41:00,0.0,8,8501118,Renens VD,12:18:00,12:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,12:23:00,12:23:00,0.0,2,8501008,Genève,12:55:00,12:55:00,0.0,3,0.0
2025-04-06,10:51:05,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,10:00:00,13:05:00,10:00:00,13:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,10:00:00,10:00:00,0,8,8501008,Genève,13:05:00,13:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:05,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,10:54:00,13:55:00,10:54:00,13:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,10:54:00,10:54:00,0,7,8500218,Olten,11:28:00,11:28:00,0,10,0,IC,5,SBB,8500218,Olten,11:41:00,11:41:00,0.0,8,8501118,Renens VD,13:18:00,13:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,13:23:00,13:23:00,0.0,2,8501008,Genève,13:55:00,13:55:00,0.0,3,0.0
2025-04-06,10:51:05,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,11:00:00,14:05:00,11:00:00,14:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,11:00:00,11:00:00,0,8,8501008,Genève,14:05:00,14:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:05,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,11:54:00,14:55:00,11:54:00,14:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IC, IC, IR",IC,21,SBB,8505000,Luzern,11:54:00,11:54:00,0,7,8500218,Olten,12:28:00,12:28:00,0,10,0,IC,5,SBB,8500218,Olten,12:41:00,12:41:00,0.0,8,8501118,Renens VD,14:18:00,14:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,14:23:00,14:23:00,0.0,2,8501008,Genève,14:55:00,14:55:00,0.0,3,0.0
2025-04-06,10:51:06,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,12:00:00,15:05:00,12:00:00,15:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,12:00:00,12:00:00,0,8,8501008,Genève,15:05:00,15:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:06,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,12:54:00,15:55:00,12:54:00,15:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,12:54:00,12:54:00,0,7,8500218,Olten,13:28:00,13:28:00,0,10,0,IC,5,SBB,8500218,Olten,13:41:00,13:41:00,0.0,8,8501118,Renens VD,15:18:00,15:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,15:23:00,15:23:00,0.0,2,8501008,Genève,15:55:00,15:55:00,0.0,3,0.0
2025-04-06,10:51:06,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,13:00:00,16:05:00,13:00:00,16:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,13:00:00,13:00:00,0,8,8501008,Genève,16:05:00,16:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:06,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,13:54:00,16:55:00,13:54:00,16:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"EC, IC, IR",EC,000178,SBB,8505000,Luzern,13:54:00,13:54:00,0,7,8500218,Olten,14:28:00,14:28:00,0,10,0,IC,5,SBB,8500218,Olten,14:41:00,14:41:00,0.0,8,8501118,Renens VD,16:18:00,16:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,16:23:00,16:23:00,0.0,2,8501008,Genève,16:55:00,16:55:00,0.0,3,0.0
2025-04-06,10:51:08,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,14:00:00,17:05:00,14:00:00,17:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,14:00:00,14:00:00,0,8,8501008,Genève,17:05:00,17:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:08,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,14:54:00,17:55:00,14:54:00,17:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,14:54:00,14:54:00,0,7,8500218,Olten,15:28:00,15:28:00,0,10,0,IC,5,SBB,8500218,Olten,15:41:00,15:41:00,0.0,8,8501118,Renens VD,17:18:00,17:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,17:23:00,17:23:00,0.0,2,8501008,Genève,17:55:00,17:55:00,0.0,3,0.0
2025-04-06,10:51:08,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,15:00:00,18:05:00,15:00:00,18:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,15:00:00,15:00:00,0,8,8501008,Genève,18:05:00,18:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:08,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,15:54:00,18:55:00,15:54:00,18:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IC, IC, IR",IC,21,SBB,8505000,Luzern,15:54:00,15:54:00,0,7,8500218,Olten,16:28:00,16:28:00,0,10,0,IC,5,SBB,8500218,Olten,16:41:00,16:41:00,0.0,8,8501118,Renens VD,18:18:00,18:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,18:23:00,18:23:00,0.0,2,8501008,Genève,18:55:00,18:55:00,0.0,3,0.0
2025-04-06,10:51:10,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,16:00:00,19:05:00,16:00:00,19:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,16:00:00,16:00:00,0,8,8501008,Genève,19:05:00,19:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,10:51:10,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,16:54:00,19:55:00,16:54:00,19:55:00,181,00d03:01:00,2,0,0,0,7,3,,,"IR, IC, IR",IR,26,SOB-sob,8505000,Luzern,16:54:00,16:54:00,0,7,8500218,Olten,17:28:00,17:28:00,0,10,0,IC,5,SBB,8500218,Olten,17:41:00,17:41:00,0.0,8,8501118,Renens VD,19:18:00,19:18:00,0.0,4,0.0,IR,90,SBB,8501118,Renens VD,19:23:00,19:23:00,0.0,2,8501008,Genève,19:55:00,19:55:00,0.0,3,0.0
2025-04-06,10:51:10,8505000,Luzern,8501008,Genève,2025-01-06,2025-01-06,17:00:00,20:05:00,17:00:00,20:05:00,185,00d03:05:00,0,0,0,0,8,3,,,IR,IR,15,SBB,8505000,Luzern,17:00:00,17:00:00,0,8,8501008,Genève,20:05:00,20:05:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
