collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Annemasse,2025-02-01,04:56:00,,,04:56:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,IC,000901,SBB,Genève-Aéroport,2025-02-01,05:27:00,,,05:27:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Coppet,2025-02-01,05:29:00,,,05:29:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-02-01,05:36:00,,,05:36:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Lausanne,2025-02-01,05:41:00,,,05:41:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Annemasse,2025-02-01,05:43:00,,,05:43:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Coppet,2025-02-01,05:44:00,,,05:44:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L5,SBB,La Plaine,2025-02-01,05:48:00,,,05:48:00,,,7,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Coppet,2025-02-01,05:59:00,,,05:59:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L5,SBB,La Plaine,2025-02-01,06:02:00,,,06:02:00,,,10,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Coppet,2025-02-01,05:59:00,,,05:59:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L5,SBB,La Plaine,2025-02-01,06:02:00,,,06:02:00,,,10,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-02-01,06:06:00,,,06:06:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Annemasse,2025-02-01,06:13:00,,,06:13:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Coppet,2025-02-01,06:14:00,,,06:14:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Lausanne,2025-02-01,06:21:00,,,06:21:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,IC,1,SBB,Genève-Aéroport,2025-02-01,06:26:00,,,06:26:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-02-01,06:38:00,,,06:38:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L5,SBB,La Plaine,2025-02-01,06:42:00,,,06:42:00,,,10,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L4,SBB,Annemasse,2025-02-01,06:43:00,,,06:43:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,IR,001804,SBB,Brig,2025-02-01,06:58:00,,,06:58:00,,,,,,,,,arrival,07:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-02-01,07:06:00,,,07:06:00,,,,,,,,,arrival,07:00,2025-02-01
2025-04-06,17:50:07,8501008,Genève,R,L5,SBB,La Plaine,2025-02-01,07:12:00,,,07:12:00,,,10,,,,,,arrival,07:00,2025-02-01
