collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:43:11,8505000,Luzern,SN,1,SBB,Olten,2025-02-01,04:27:00,,,04:27:00,,,10,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,4,ZB,Wolfenschiessen,2025-02-01,05:22:00,,,05:22:00,,,13,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,1,SBB,Olten,2025-02-01,05:45:00,,,05:45:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,5,ZB,Giswil,2025-02-01,05:46:00,,,05:46:00,,,14,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,44,ZB,Wolfenschiessen,2025-02-01,05:49:00,,,05:49:00,,,15,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,3,SBB,Arth-Goldau,2025-02-01,05:53:00,,,05:53:00,,,11,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,RE,24,SBB,Olten,2025-02-01,05:55:00,,,05:55:00,,,8,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,6,BLS-bls,Wolhusen,2025-02-01,06:00:00,,,06:00:00,,,10,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,4,ZB,Stans,2025-02-01,06:01:00,,,06:01:00,,,14,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,IC,21,SBB,Basel SBB,2025-02-01,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:43:11,8505000,Luzern,S,6,BLS-bls,Wolhusen,2025-02-01,06:00:00,,,06:00:00,,,10,,,,,,arrival,06:00,2025-02-01
