collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:46:17,8503000,Zürich HB,RE,002560,SBB,Zug,2025-02-01,04:55:00,,,04:55:00,,,3,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,16,SBB,Rapperswil SG,2025-02-01,05:11:00,,,05:11:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,14,SBB,Rapperswil SG,2025-02-01,05:12:00,,,05:12:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,019016,SBB,Ziegelbrücke,2025-02-01,05:12:00,,,05:12:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,019010,SBB,Winterthur,2025-02-01,05:12:00,,,05:12:00,,,43/44,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,12,SBB,Brugg AG,2025-02-01,05:15:00,,,05:15:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,IR,002155,SBB,Bern,2025-02-01,05:28:00,,,05:28:00,,,3,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,05:35:00,,,05:35:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,05:40:00,,,05:40:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:17,8503000,Zürich HB,S,12,SBB,Winterthur,2025-02-01,05:42:00,,,05:42:00,,,,,,,,,arrival,05:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,11,SBB,Aarau,2025-02-01,06:00:00,,,06:00:00,,,43/44,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,06:02:00,,,06:02:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,5,SBB,Rapperswil SG,2025-02-01,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,IR,35,SOB-sob,Bern,2025-02-01,06:06:00,,,06:06:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,06:07:00,,,06:07:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,06:08:00,,,06:08:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,06:09:00,,,06:09:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,06:10:00,,,06:10:00,,,,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,4,SZU,Langnau-Gattikon,2025-02-01,06:11:00,,,06:11:00,,,21,,,,,,arrival,06:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,07:00:00,,,07:00:00,,,10,,,,,,arrival,07:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,IC,8,SBB,Bern,2025-02-01,07:01:00,,,07:01:00,,,,,,,,,arrival,07:00,2025-02-01
2025-04-06,17:46:18,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,07:02:00,,,07:02:00,,,,,,,,,arrival,07:00,2025-02-01
