collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,scheduled_departure,scheduled_arrival,departure_delay,arrival_delay,platform,departure_prognosis,arrival_prognosis,board_type
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 00:00:00,,,,1,1740783600,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 00:01:00,,,,2,1740783660,,departure
2025-04-04,16:09:40,8501008,Genève,IR,90,SBB,Genève-Aéroport,2025-03-01 00:04:00,,,,3,1740783840,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Lausanne,2025-03-01 00:08:00,,,,5,1740784080,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 00:15:00,,,,1,1740784500,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 00:18:00,,,,10,1740784680,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-03-01 00:23:00,,,,3,1740784980,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 00:30:00,,,,1,1740785400,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 00:31:00,,,,2,1740785460,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 01:00:00,,,,4,1740787200,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 01:01:00,,,,1,1740787260,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 01:04:00,,,,10,1740787440,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Vevey,2025-03-01 01:08:00,,,,4,1740787680,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 02:00:00,,,,1,1740790800,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 02:01:00,,,,2,1740790860,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 02:04:00,,,,10,1740791040,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Vevey,2025-03-01 02:08:00,,,,4,1740791280,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 03:00:00,,,,1,1740794400,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 03:01:00,,,,3,1740794460,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 03:05:00,,,,10,1740794700,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 04:00:00,,,,10,1740798000,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 04:00:00,,,,1,1740798000,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 04:01:00,,,,2,1740798060,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Lausanne,2025-03-01 04:08:00,,,,4,1740798480,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001805,SBB,Brig,2025-03-01 04:46:00,,,,4,1740800760,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-03-01 04:46:00,,,,3,1740800760,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 04:48:00,,,,2,1740800880,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 05:00:00,,,,1,1740801600,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 05:05:00,,,,5,1740801900,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,St-Maurice,2025-03-01 05:08:00,,,,3,1740802080,,departure
2025-04-04,16:09:40,8501008,Genève,TER,096550,SBB,Bellegarde-sur-Valserine,2025-03-01 05:14:00,,,,7,1740802440,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001900,SBB,Genève-Aéroport,2025-03-01 05:18:00,,,,2,1740802680,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 05:18:00,,,,5,1740802680,,departure
2025-04-04,16:09:40,8501008,Genève,IR,95,SBB,Brig,2025-03-01 05:22:00,,,,4,1740802920,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Annemasse,2025-03-01 05:23:00,,,,3,1740802980,,departure
2025-04-04,16:09:40,8501008,Genève,EC,000041,SBB,Domodossola (I),2025-03-01 05:27:00,,,,5,1740803220,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 05:30:00,,,,1,1740803400,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 05:31:00,,,,3,1740803460,,departure
2025-04-04,16:09:40,8501008,Genève,IC,000901,SBB,Chur,2025-03-01 05:35:00,,,,4,1740803700,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Martigny,2025-03-01 05:38:00,,,,5,1740803880,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-03-01 05:43:00,,,,3,1740804180,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 05:45:00,,,,1,1740804300,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 05:46:00,,,,2,1740804360,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 05:48:00,,,,10,1740804480,,departure
2025-04-04,16:09:40,8501008,Genève,IC,001455,SBB,Locarno,2025-03-01 05:53:00,,,,4,1740804780,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 06:00:00,,,,1,1740805200,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 06:01:00,,,,2,1740805260,,departure
2025-04-04,16:09:40,8501008,Genève,R,L6,SBB,Pougny-Chancy,2025-03-01 06:03:00,,,,6,1740805380,,departure
2025-04-04,16:09:40,8501008,Genève,IR,90,SBB,Brig,2025-03-01 06:05:00,,,,5,1740805500,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001902,SBB,Genève-Aéroport,2025-03-01 06:07:00,,,,2,1740805620,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,St-Maurice,2025-03-01 06:08:00,,,,4,1740805680,,departure
2025-04-04,16:09:40,8501008,Genève,TER,096552,SBB,Bellegarde-sur-Valserine,2025-03-01 06:14:00,,,,7,1740806040,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 06:15:00,,,,1,1740806100,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 06:16:00,,,,2,1740806160,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 06:18:00,,,,10,1740806280,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-03-01 06:23:00,,,,2,1740806580,,departure
2025-04-04,16:09:40,8501008,Genève,IR,95,SBB,Brig,2025-03-01 06:24:00,,,,4,1740806640,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001910,SBB,Genève-Aéroport,2025-03-01 06:28:00,,,,5,1740806880,,departure
2025-04-04,16:09:40,8501008,Genève,TGV,009760,SBB,Bellegarde-sur-Valserine,2025-03-01 06:29:00,,,,7,1740806940,,departure
2025-04-04,16:09:40,8501008,Genève,R,L1,SBB,Coppet,2025-03-01 06:30:00,,,,1,1740807000,,departure
2025-04-04,16:09:40,8501008,Genève,R,L3,SBB,Annemasse,2025-03-01 06:31:00,,,,2,1740807060,,departure
2025-04-04,16:09:40,8501008,Genève,IC,1,SBB,St. Gallen,2025-03-01 06:35:00,,,,4,1740807300,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001702,SBB,Genève-Aéroport,2025-03-01 06:38:00,,,,3,1740807480,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Le Châble VS,2025-03-01 06:39:00,,,,5,1740807540,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 06:45:00,,,,1,1740807900,,departure
2025-04-04,16:09:40,8501008,Genève,R,L2,SBB,Annemasse,2025-03-01 06:46:00,,,,2,1740807960,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 06:48:00,,,,10,1740808080,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Annemasse,2025-03-01 06:53:00,,,,2,1740808380,,departure
2025-04-04,16:09:40,8501008,Genève,IR,15,SBB,Luzern,2025-03-01 06:54:00,,,,4,1740808440,,departure
2025-04-04,16:09:40,8501008,Genève,IR,001804,SBB,Genève-Aéroport,2025-03-01 06:58:00,,,,3,1740808680,,departure
2025-04-04,16:09:40,8501008,Genève,TER,096630,SBB,Bellegarde-sur-Valserine,2025-03-01 06:59:00,,,,6,1740808740,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Coppet,2025-03-01 07:00:00,,,,1,1740808800,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 07:01:00,,,,2,1740808860,,departure
2025-04-04,16:09:40,8501008,Genève,IR,90,SBB,Brig,2025-03-01 07:05:00,,,,4,1740809100,,departure
2025-04-04,16:09:40,8501008,Genève,IR,15,SBB,Genève-Aéroport,2025-03-01 07:08:00,,,,3,1740809280,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,St-Maurice,2025-03-01 07:08:00,,,,5,1740809280,,departure
2025-04-04,16:09:40,8501008,Genève,TER,096554,SBB,Bellegarde-sur-Valserine,2025-03-01 07:14:00,,,,7,1740809640,,departure
2025-04-04,16:09:40,8501008,Genève,R,L2,SBB,Coppet,2025-03-01 07:15:00,,,,1,1740809700,,departure
2025-04-04,16:09:40,8501008,Genève,R,L4,SBB,Annemasse,2025-03-01 07:16:00,,,,2,1740809760,,departure
2025-04-04,16:09:40,8501008,Genève,R,L5,SBB,La Plaine,2025-03-01 07:18:00,,,,10,1740809880,,departure
2025-04-04,16:09:40,8501008,Genève,IR,95,SBB,Brig,2025-03-01 07:23:00,,,,5,1740810180,,departure
2025-04-04,16:09:40,8501008,Genève,RE,33,SBB,Genève-Aéroport,2025-03-01 07:23:00,,,,2,1740810180,,departure
2025-04-04,16:09:40,8501008,Genève,EC,000043,SBB,Domodossola (I),2025-03-01 07:27:00,,,,4,1740810420,,departure
2025-04-04,16:09:40,8501008,Genève,IC,1,SBB,Genève-Aéroport,2025-03-01 07:28:00,,,,3,1740810480,,departure
2025-04-04,16:09:40,8501008,Genève,R,L3,SBB,Coppet,2025-03-01 07:30:00,,,,1,1740810600,,departure
2025-04-04,16:09:40,8501008,Genève,R,L1,SBB,Annemasse,2025-03-01 07:31:00,,,,2,1740810660,,departure
2025-04-04,16:09:40,8501008,Genève,IC,1,SBB,St. Gallen,2025-03-01 07:35:00,,,,5,1740810900,,departure
