collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,scheduled_departure,scheduled_arrival,departure_delay,arrival_delay,platform,departure_prognosis,arrival_prognosis,board_type
2025-04-04,16:05:35,8505000,Luzern,RE,24,SBB,Olten,2025-03-01 00:05:00,,,,11,1740783900,,departure
2025-04-04,16:05:35,8505000,Luzern,S,3,SBB,Brunnen,2025-03-01 00:06:00,,,,8,1740783960,,departure
2025-04-04,16:05:35,8505000,Luzern,S,9,SBB,Beinwil am See,2025-03-01 00:10:00,,,,10B,1740784200,,departure
2025-04-04,16:05:35,8505000,Luzern,S,5,ZB,Giswil,2025-03-01 00:12:00,,,,14,1740784320,,departure
2025-04-04,16:05:35,8505000,Luzern,S,6,BLS-bls,Langnau i.E.,2025-03-01 00:16:00,,,,5B-D,1740784560,,departure
2025-04-04,16:05:35,8505000,Luzern,S,6,BLS-bls,Willisau,2025-03-01 00:16:00,,,,5B-D,1740784560,,departure
2025-04-04,16:05:35,8505000,Luzern,S,1,SBB,Zug,2025-03-01 00:21:00,,,,11,1740784860,,departure
2025-04-04,16:05:35,8505000,Luzern,S,1,SBB,Olten,2025-03-01 00:30:00,,,,6,1740785400,,departure
2025-04-04,16:05:35,8505000,Luzern,S,4,ZB,Wolfenschiessen,2025-03-01 00:32:00,,,,14,1740785520,,departure
2025-04-04,16:05:35,8505000,Luzern,RE,002600,SBB,Zürich HB,2025-03-01 00:35:00,,,,7,1740785700,,departure
2025-04-04,16:05:35,8505000,Luzern,S,3,SBB,Erstfeld,2025-03-01 00:39:00,,,,10,1740785940,,departure
2025-04-04,16:05:35,8505000,Luzern,S,5,ZB,Giswil,2025-03-01 00:45:00,,,,13B,1740786300,,departure
2025-04-04,16:05:35,8505000,Luzern,IR,002344,SBB,Basel SBB,2025-03-01 00:47:00,,,,9,1740786420,,departure
2025-04-04,16:05:35,8505000,Luzern,S,1,SBB,Zug,2025-03-01 00:51:00,,,,7,1740786660,,departure
2025-04-04,16:05:35,8505000,Luzern,S,4,ZB,Stans,2025-03-01 01:07:00,,,,14,1740787620,,departure
2025-04-04,16:05:35,8505000,Luzern,SN,1,SBB,Olten,2025-03-01 01:30:00,,,,8,1740789000,,departure
2025-04-04,16:05:35,8505000,Luzern,RE,002602,SBB,Zürich HB,2025-03-01 01:35:00,,,,7,1740789300,,departure
2025-04-04,16:05:35,8505000,Luzern,SN,1,SBB,Olten,2025-03-01 02:30:00,,,,8,1740792600,,departure
2025-04-04,16:05:35,8505000,Luzern,RE,002604,SBB,Zürich HB,2025-03-01 02:35:00,,,,7,1740792900,,departure
2025-04-04,16:05:35,8505000,Luzern,SN,1,SBB,Sursee,2025-03-01 03:30:00,,,,8,1740796200,,departure
