collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,scheduled_departure,scheduled_arrival,departure_delay,arrival_delay,platform,departure_prognosis,arrival_prognosis,board_type
2025-04-04,16:07:22,8503000,Zürich HB,S,6,SBB,Küsnacht ZH,2025-03-01 00:00:00,,,,43/44,1740783600,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IC,8,SBB,Bern,2025-03-01 00:02:00,,,,17,1740783720,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,6,SBB,Baden,2025-03-01 00:03:00,,,,41/42,1740783780,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,48,SBB,Schaffhausen,2025-03-01 00:05:00,,,,5,1740783900,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,16,SBB,Brugg AG,2025-03-01 00:06:00,,,,32,1740783960,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,37,SBB,Basel SBB,2025-03-01 00:08:00,,,,14,1740784080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,8,THURBO,Romanshorn,2025-03-01 00:08:00,,,,34,1740784080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,015992,SBB,Schaffhausen,2025-03-01 00:08:00,,,,41/42,1740784080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,3,SBB,Wetzikon ZH,2025-03-01 00:08:00,,,,43/44,1740784080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,5,SBB,Zug,2025-03-01 00:09:00,,,,41/42,1740784140,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,70,SBB,Luzern,2025-03-01 00:10:00,,,,7,1740784200,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,7,SBB,Rapperswil SG,2025-03-01 00:11:00,,,,43/44,1740784260,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,14,SBB,Wetzikon ZH,2025-03-01 00:12:00,,,,33,1740784320,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,12,SBB,Brugg AG,2025-03-01 00:14:00,,,,41/42,1740784440,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,24,SBB,Zürich Flughafen,2025-03-01 00:14:00,,,,3,1740784440,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,10,SZU,Ringlikon,2025-03-01 00:15:00,,,,22,1740784500,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,12,SBB,Winterthur,2025-03-01 00:16:00,,,,43/44,1740784560,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,13,SBB,St. Gallen,2025-03-01 00:17:00,,,,12,1740784620,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,8,SBB,Ziegelbrücke,2025-03-01 00:17:00,,,,31,1740784620,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,4,SZU,Langnau-Gattikon,2025-03-01 00:18:00,,,,21,1740784680,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,7,SBB,Winterthur,2025-03-01 00:19:00,,,,41/42,1740784740,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,16,SBB,Rapperswil SG,2025-03-01 00:19:00,,,,43/44,1740784740,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,24,SBB,Zug,2025-03-01 00:21:00,,,,4,1740784860,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,35,SOB-sob,Chur,2025-03-01 00:23:00,,,,6,1740784980,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,019093,SBB,Rapperswil SG,2025-03-01 00:24:00,,,,43/44,1740785040,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,8,SBB,Winterthur,2025-03-01 00:25:00,,,,33,1740785100,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,6,SBB,Zürich Tiefenbrunnen,2025-03-01 00:30:00,,,,43/44,1740785400,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Würenlos,2025-03-01 00:32:00,,,,41/42,1740785520,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,002601,SBB,Luzern,2025-03-01 00:35:00,,,,7,1740785700,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,48,SBB,Schaffhausen,2025-03-01 00:35:00,,,,34,1740785700,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,5,SBB,Zug,2025-03-01 00:39:00,,,,41/42,1740785940,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Knonau,2025-03-01 00:57:00,,,,41/42,1740787020,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Stäfa,2025-03-01 00:57:00,,,,43/44,1740787020,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Aarau,2025-03-01 01:00:00,,,,41/42,1740787200,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Pfäffikon ZH,2025-03-01 01:00:00,,,,34,1740787200,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Uster,2025-03-01 01:01:00,,,,43/44,1740787260,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IC,8,SBB,Bern,2025-03-01 01:02:00,,,,15,1740787320,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Winterthur,2025-03-01 01:05:00,,,,43/44,1740787500,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,37,SBB,Basel SBB,2025-03-01 01:08:00,,,,16,1740787680,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Bülach,2025-03-01 01:08:00,,,,41/42,1740787680,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Bassersdorf,2025-03-01 01:10:00,,,,41/42,1740787800,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,4,SZU,Langnau-Gattikon,2025-03-01 01:11:00,,,,21,1740787860,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Lachen SZ,2025-03-01 01:14:00,,,,31,1740788040,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Pfäffikon SZ,2025-03-01 01:18:00,,,,43/44,1740788280,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,35,SOB-sob,Pfäffikon SZ,2025-03-01 01:21:00,,,,5,1740788460,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,11,SBB,Olten,2025-03-01 01:30:00,,,,41/42,1740789000,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Würenlos,2025-03-01 01:32:00,,,,41/42,1740789120,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,002603,SBB,Luzern,2025-03-01 01:35:00,,,,6,1740789300,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Winterthur,2025-03-01 01:35:00,,,,43/44,1740789300,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Knonau,2025-03-01 01:57:00,,,,41/42,1740790620,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Stäfa,2025-03-01 01:57:00,,,,43/44,1740790620,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Aarau,2025-03-01 02:00:00,,,,41/42,1740790800,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Pfäffikon ZH,2025-03-01 02:00:00,,,,34,1740790800,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Dübendorf,2025-03-01 02:01:00,,,,43/44,1740790860,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Winterthur,2025-03-01 02:05:00,,,,43/44,1740791100,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Bülach,2025-03-01 02:08:00,,,,41/42,1740791280,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Bassersdorf,2025-03-01 02:10:00,,,,41/42,1740791400,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,4,SZU,Langnau-Gattikon,2025-03-01 02:11:00,,,,21,1740791460,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Lachen SZ,2025-03-01 02:14:00,,,,31,1740791640,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,002605,SBB,Luzern,2025-03-01 02:15:00,,,,6,1740791700,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Rapperswil SG,2025-03-01 02:18:00,,,,43/44,1740791880,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,11,SBB,Olten,2025-03-01 02:30:00,,,,41/42,1740792600,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Würenlos,2025-03-01 02:32:00,,,,41/42,1740792720,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Winterthur,2025-03-01 02:35:00,,,,43/44,1740792900,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Knonau,2025-03-01 02:57:00,,,,41/42,1740794220,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Stäfa,2025-03-01 02:57:00,,,,43/44,1740794220,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Aarau,2025-03-01 03:00:00,,,,41/42,1740794400,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Pfäffikon ZH,2025-03-01 03:00:00,,,,34,1740794400,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Dübendorf,2025-03-01 03:01:00,,,,43/44,1740794460,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Winterthur,2025-03-01 03:05:00,,,,43/44,1740794700,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Bülach,2025-03-01 03:08:00,,,,41/42,1740794880,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Bassersdorf,2025-03-01 03:10:00,,,,41/42,1740795000,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,4,SZU,Langnau-Gattikon,2025-03-01 03:11:00,,,,21,1740795060,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Lachen SZ,2025-03-01 03:14:00,,,,31,1740795240,,departure
2025-04-04,16:07:22,8503000,Zürich HB,RE,002607,SBB,Luzern,2025-03-01 03:15:00,,,,6,1740795300,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Pfäffikon SZ,2025-03-01 03:18:00,,,,43/44,1740795480,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Würenlos,2025-03-01 03:32:00,,,,41/42,1740796320,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,6,SBB,Winterthur,2025-03-01 03:35:00,,,,43/44,1740796500,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Knonau,2025-03-01 03:57:00,,,,41/42,1740797820,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Stäfa,2025-03-01 03:57:00,,,,43/44,1740797820,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Aarau,2025-03-01 04:00:00,,,,41/42,1740798000,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Pfäffikon ZH,2025-03-01 04:00:00,,,,34,1740798000,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Dübendorf,2025-03-01 04:01:00,,,,43/44,1740798060,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,1,SBB,Oberwinterthur,2025-03-01 04:05:00,,,,43/44,1740798300,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,9,SBB,Bülach,2025-03-01 04:08:00,,,,41/42,1740798480,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,7,SBB,Bassersdorf,2025-03-01 04:10:00,,,,41/42,1740798600,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,4,SZU,Langnau-Gattikon,2025-03-01 04:11:00,,,,21,1740798660,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,8,SBB,Lachen SZ,2025-03-01 04:14:00,,,,31,1740798840,,departure
2025-04-04,16:07:22,8503000,Zürich HB,SN,5,SBB,Pfäffikon SZ,2025-03-01 04:18:00,,,,43/44,1740799080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,018013,SBB,Zürich Flughafen,2025-03-01 04:33:00,,,,34,1740799980,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,12,SBB,Brugg AG,2025-03-01 04:44:00,,,,14,1740800640,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,11,SBB,Aarau,2025-03-01 04:59:00,,,,18,1740801540,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,018017,SBB,Winterthur,2025-03-01 05:02:00,,,,3,1740801720,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,16,SBB,Rapperswil SG,2025-03-01 05:05:00,,,,43/44,1740801900,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,8,SBB,Pfäffikon SZ,2025-03-01 05:07:00,,,,32,1740802020,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,9,SBB,Schaffhausen,2025-03-01 05:07:00,,,,41/42,1740802020,,departure
2025-04-04,16:07:22,8503000,Zürich HB,IR,37,SBB,Basel SBB,2025-03-01 05:08:00,,,,16,1740802080,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,14,SBB,Dübendorf,2025-03-01 05:12:00,,,,33,1740802320,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,019016,SBB,Zürich Flughafen,2025-03-01 05:14:00,,,,34,1740802440,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,12,SBB,Schaffhausen,2025-03-01 05:16:00,,,,43/44,1740802560,,departure
2025-04-04,16:07:22,8503000,Zürich HB,S,16,SBB,Zürich Flughafen,2025-03-01 05:16:00,,,,41/42,1740802560,,departure
2025-04-04,16:07:24,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-03-01 00:00:00,,,,8,1740783600,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,IC,8,SBB,Bern,2025-03-01 00:01:00,,,,10,1740783660,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,3,SBB,Zürich Hardbrücke,2025-03-01 00:02:00,,,,,1740783720,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,015992,SBB,Rapperswil SG,2025-03-01 00:02:00,,,,,1740783720,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,8,SBB,Winterthur,2025-03-01 00:05:00,,,,,1740783900,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,5,SBB,Rapperswil SG,2025-03-01 00:05:00,,,,,1740783900,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-03-01 00:08:00,,,,16,1740784080,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,24,SBB,Zug,2025-03-01 00:09:00,,,,,1740784140,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,14,SBB,Zürich Altstetten,2025-03-01 00:10:00,,,,,1740784200,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,7,SBB,Winterthur,2025-03-01 00:10:00,,,,,1740784200,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,IC,5,SBB,Lausanne,2025-03-01 00:10:00,,,,13,1740784200,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,4,SZU,Langnau-Gattikon,2025-03-01 00:11:00,,,,21,1740784260,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,12,SBB,Winterthur,2025-03-01 00:12:00,,,,,1740784320,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,16,SBB,Meilen,2025-03-01 00:14:00,,,,41/42,1740784440,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,12,SBB,Brugg AG,2025-03-01 00:15:00,,,,,1740784500,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,24,SBB,Effretikon,2025-03-01 00:16:00,,,,,1740784560,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,16,SBB,Zürich Flughafen,2025-03-01 00:17:00,,,,,1740784620,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,7,SBB,Rapperswil SG,2025-03-01 00:17:00,,,,,1740784620,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,14,SBB,Hinwil,2025-03-01 00:18:00,,,,32,1740784680,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,5,SBB,Zug,2025-03-01 00:21:00,,,,43/44,1740784860,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,9,SBB,Schaffhausen,2025-03-01 00:23:00,,,,43/44,1740784980,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,8,SBB,Ziegelbrücke,2025-03-01 00:23:00,,,,,1740784980,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,IR,36,SBB,Basel SBB,2025-03-01 00:24:00,,,,17,1740785040,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,3,SBB,Wetzikon ZH,2025-03-01 00:25:00,,,,41/42,1740785100,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,RE,48,SBB,Schaffhausen,2025-03-01 00:25:00,,,,34,1740785100,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,IR,75,SBB,Luzern,2025-03-01 00:25:00,,,,8,1740785100,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,24,SBB,Bassersdorf,2025-03-01 00:26:00,,,,5,1740785160,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-03-01 00:27:00,,,,22,1740785220,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,EC,000296,SBB,Bregenz,2025-03-01 00:27:00,,,,31,1740785220,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,6,SBB,Baden,2025-03-01 00:28:00,,,,,1740785280,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,11,SBB,Aarau,2025-03-01 00:30:00,,,,18,1740785400,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,4,SZU,Langnau-Gattikon,2025-03-01 00:31:00,,,,21,1740785460,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,9,SBB,Uster,2025-03-01 00:32:00,,,,41/42,1740785520,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,8,SBB,Winterthur,2025-03-01 00:35:00,,,,32,1740785700,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,5,SBB,Rapperswil SG,2025-03-01 00:35:00,,,,,1740785700,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,24,SBB,Zug,2025-03-01 00:39:00,,,,3,1740785940,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,S,7,SBB,Winterthur,2025-03-01 00:40:00,,,,43/44,1740786000,,arrival
2025-04-04,16:07:24,8503000,Zürich HB,IC,1,SBB,Lausanne,2025-03-01 00:40:00,,,,12,1740786000,,arrival
