collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,15:59:35,8505000,Luzern,SN,1,SBB,Olten,2025-01-01,04:27:00,,,04:27:00,,,10,,,,,,arrival,05:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,4,ZB,Wolfenschiessen,2025-01-01,05:22:00,,,05:22:00,,,13,,,,,,arrival,05:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,6,BLS-bls,Wolhusen,2025-01-01,06:00:00,,,06:00:00,,,10,,,,,,arrival,06:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,4,ZB,Stans,2025-01-01,06:01:00,,,06:01:00,,,14,,,,,,arrival,06:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,PE,LIX,ZB,Meiringen,2025-01-01,06:55:00,,,06:55:00,,,13,,,,,,arrival,07:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,4,ZB,Stans,2025-01-01,07:01:00,,,07:01:00,,,14,,,,,,arrival,07:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,IR,15,SBB,Fribourg/Freiburg,2025-01-01,07:01:00,,,07:01:00,,,6,,,,,,arrival,07:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,07:58:00,,,07:58:00,,,10,,,,,,arrival,08:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,S,4,ZB,Stans,2025-01-01,08:01:00,,,08:01:00,,,14,,,,,,arrival,08:00,2025-01-01
2025-04-06,15:59:35,8505000,Luzern,IR,15,SBB,Lausanne,2025-01-01,08:01:00,,,08:01:00,,,3,,,,,,arrival,08:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,08:58:00,,,08:58:00,,,10,,,,,,arrival,09:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,4,ZB,Stans,2025-01-01,09:01:00,,,09:01:00,,,14,,,,,,arrival,09:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,09:01:00,,,09:01:00,,,4,,,,,,arrival,09:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,09:58:00,,,09:58:00,,,10,,,,,,arrival,10:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,4,ZB,Stans,2025-01-01,10:01:00,,,10:01:00,,,14,,,,,,arrival,10:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,10:01:00,,,10:01:00,,,4,,,,,,arrival,10:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,10:58:00,,,10:58:00,,,10,,,,,,arrival,11:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,4,ZB,Stans,2025-01-01,11:01:00,,,11:01:00,,,14,,,,,,arrival,11:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,11:01:00,,,11:01:00,,,4,,,,,,arrival,11:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,11:58:00,,,11:58:00,,,10,,,,,,arrival,12:00,2025-01-01
2025-04-06,15:59:36,8505000,Luzern,S,4,ZB,Stans,2025-01-01,12:01:00,,,12:01:00,,,14,,,,,,arrival,12:00,2025-01-01
