collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,16:02:07,8503000,Zürich HB,RE,002560,SBB,Zug,2025-01-01,04:55:00,,,04:55:00,,,3,,,,,,arrival,05:00,2025-01-01
2025-04-06,16:02:07,8503000,Zürich HB,S,16,SBB,Rapperswil SG,2025-01-01,05:11:00,,,05:11:00,,,,,,,,,arrival,05:00,2025-01-01
2025-04-06,16:02:07,8503000,Zürich HB,S,11,SBB,Aarau,2025-01-01,06:00:00,,,06:00:00,,,,,,,,,arrival,06:00,2025-01-01
2025-04-06,16:02:07,8503000,Zürich HB,S,3,SBB,Zürich Hardbrücke,2025-01-01,06:02:00,,,06:02:00,,,,,,,,,arrival,06:00,2025-01-01
2025-04-06,16:02:08,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-01-01,07:00:00,,,07:00:00,,,10,,,,,,arrival,07:00,2025-01-01
2025-04-06,16:02:08,8503000,Zürich HB,IC,8,SBB,Bern,2025-01-01,07:01:00,,,07:01:00,,,,,,,,,arrival,07:00,2025-01-01
2025-04-06,16:02:08,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-01-01,08:00:00,,,08:00:00,,,16,,,,,,arrival,08:00,2025-01-01
2025-04-06,16:02:08,8503000,Zürich HB,S,9,SBB,Uster,2025-01-01,08:02:00,,,08:02:00,,,,,,,,,arrival,08:00,2025-01-01
2025-04-06,16:02:08,8503000,Zürich HB,S,3,SBB,Zürich Hardbrücke,2025-01-01,08:02:00,,,08:02:00,,,,,,,,,arrival,08:00,2025-01-01
2025-04-06,16:02:09,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-01-01,09:00:00,,,09:00:00,,,,,,,,,arrival,09:00,2025-01-01
2025-04-06,16:02:09,8503000,Zürich HB,S,9,SBB,Uster,2025-01-01,09:02:00,,,09:02:00,,,,,,,,,arrival,09:00,2025-01-01
